idnum,state,state2,stfips,zip,region,typebldg,floor,room,basement,windoor,rep,stratum,wave,starttm,stoptm,startdt,stopdt,activity,pcterr,adjwt,dupflag,zipflag,cntyfips,county,fips,Uppm,county_code,log_radon
5121,MN,MN,27,55304,3,1,0,4,Y, ,1,2,38,900,900,20288,20288,1.4,21.6,485.435931,0,0,3,ANOKA,27003,0.428565,1,0.405465108
5122,MN,MN,27,55304,3,1,0,4,Y, ,3,2,46,2300,2300,12688,12888,3.3,8.4,433.316718,0,0,3,ANOKA,27003,0.428565,1,1.223775432
5123,MN,MN,27,55304,3,1,0,4,Y, ,3,2,49,715,735,20288,20288,2.9,8.8,433.316718,0,0,3,ANOKA,27003,0.428565,1,1.098612289
5124,MN,MN,27,55304,3,1,1,3,Y, ,2,2,49,1715,1540,32688,32888,1.8,32,461.62367,0,0,3,ANOKA,27003,0.428565,1,0.641853886
5126,MN,MN,27,55421,3,1,0,2,Y, ,1,5,21,1217,1220,120287,121087,2.4,14.1,2116.561544,0,0,3,ANOKA,27003,0.428565,1,0.916290732
5127,MN,MN,27,55421,3,5,1,3,N, ,2,5,36,2230,2230,10188,10188,1.1,24,2246.96884,0,0,3,ANOKA,27003,0.428565,1,0.182321557
5128,MN,MN,27,55432,3,1,0,7,Y, ,5,5,26,945,945,121687,121887,2.2,10.7,2179.503255,0,0,3,ANOKA,27003,0.428565,1,0.832909123
5129,MN,MN,27,55432,3,1,0,2,Y, ,3,5,43,800,804,12388,12588,0.6,24,2119.396234,0,0,3,ANOKA,27003,0.428565,1,-0.356674944
5131,MN,MN,27,55433,3,0,0,0, , ,1,5,33,845,1000,12188,12388,2.9,7.3,2116.561544,0,0,3,ANOKA,27003,0.428565,1,1.098612289
5132,MN,MN,27,55433,3,1,0,4,Y, ,2,5,50,2200,2200,20288,20288,2.2,10,2246.96884,0,0,3,ANOKA,27003,0.428565,1,0.832909123
5133,MN,MN,27,55434,3,1,0,2,Y, ,5,5,33,1815,1815,122787,122987,1.7,20,2179.503255,0,0,3,ANOKA,27003,0.428565,1,0.587786665
5134,MN,MN,27,55434,3,1,0,2,Y, ,4,5,38,1600,1600,11388,11588,1.4,18.8,2314.365189,0,0,3,ANOKA,27003,0.428565,1,0.405465108
5136,MN,MN,27,55434,3,1,0,4,Y, ,2,5,38,1515,1515,12988,13188,1.8,12.2,2246.96884,0,0,3,ANOKA,27003,0.428565,1,0.641853886
5137,MN,MN,27,56501,2,1,1,3,Y, ,5,3,25,1215,1330,121487,121687,1.2,22.7,893.23743,0,0,5,BECKER,27005,0.892741,2,0.262364264
5138,MN,MN,27,56501,2,1,0,2,Y, ,3,3,41,2025,2100,11788,11988,4.3,9.1,1071.318034,0,0,5,BECKER,27005,0.892741,2,1.481604541
5139,MN,MN,27,56544,2,1,1,3,N, ,3,3,44,1000,1000,12188,12388,4.5,6,1071.318034,0,0,5,BECKER,27005,0.892741,2,1.526056303
5140,MN,MN,27,56601,2,1,0,4,Y, ,4,3,31,1320,1605,122087,122287,6.3,6.9,990.411554,0,0,7,BELTRAMI,27007,0.552472,3,1.85629799
5142,MN,MN,27,56601,2,1,0,4,Y, ,1,3,2,1300,1300,22388,22588,5.7,5.4,1024.442902,0,0,7,BELTRAMI,27007,0.552472,3,1.757857918
5143,MN,MN,27,56647,2,1,1,3,Y, ,2,3,40,1000,1000,11888,12088,2.2,8.2,921.864905,2,0,7,BELTRAMI,27007,0.552472,3,0.832909123
5145,MN,MN,27,56683,2,1,1,1,N, ,1,3,42,1100,1100,11788,11988,4.6,6.7,1024.442902,0,0,7,BELTRAMI,27007,0.552472,3,1.547562509
5149,MN,MN,27,56379,5,1,1,3,N, ,2,3,4,1830,1830,22888,30388,2.9,11.4,921.864905,0,0,9,BENTON,27009,0.866849,4,1.098612289
5150,MN,MN,27,56379,5,1,0,4,Y, ,4,3,4,1500,1500,22888,30388,2.9,7.3,990.411554,0,0,9,BENTON,27009,0.866849,4,1.098612289
5152,MN,MN,27,56225,5,1,0,4,Y, ,4,4,36,1400,1400,122887,123087,5,7.3,1177.377355,0,0,11,BIG STONE,27011,1.47264,5,1.62924054
5154,MN,MN,27,56001,4,1,0,7,Y, ,5,3,31,1730,1730,10188,10188,5,6.8,893.23743,0,0,13,BLUE EARTH,27013,1.31208,6,1.62924054
5155,MN,MN,27,56001,4,1,0,4,Y, ,2,3,32,2100,2100,122687,122887,13,3,921.864905,0,0,13,BLUE EARTH,27013,1.31208,6,2.57261223
5156,MN,MN,27,56001,4,1,0,4,Y, ,4,3,34,812,844,123187,10188,7.2,4.4,990.411554,0,0,13,BLUE EARTH,27013,1.31208,6,1.987874348
5160,MN,MN,27,56001,4,1,0,4,Y, ,2,3,47,820,1045,20288,20288,9.5,3.8,921.864905,1,0,13,BLUE EARTH,27013,1.31208,6,2.261763098
5161,MN,MN,27,56001,4,1,0,7,Y, ,4,3,47,1300,1301,20288,20288,6,5.6,990.411554,0,0,13,BLUE EARTH,27013,1.31208,6,1.808288771
5162,MN,MN,27,56001,4,1,0,7,Y, ,5,3,48,2010,2025,20288,20288,3.8,7.6,893.23743,0,0,13,BLUE EARTH,27013,1.31208,6,1.360976553
5164,MN,MN,27,56010,4,1,0,4,Y, ,5,3,22,800,800,121287,121487,1.8,13.2,893.23743,0,0,13,BLUE EARTH,27013,1.31208,6,0.641853886
5165,MN,MN,27,56055,4,1,0,2,Y, ,3,3,28,1230,1230,121687,121887,6.9,5.1,1071.318034,0,0,13,BLUE EARTH,27013,1.31208,6,1.945910149
5166,MN,MN,27,56055,4,1,0,0, , ,5,3,38,1300,1257,10188,11188,4.7,5.1,893.23743,0,0,13,BLUE EARTH,27013,1.31208,6,1.568615918
5168,MN,MN,27,56073,4,1,1,0,Y, ,2,3,33,715,715,122987,123187,2.5,9.8,921.864905,0,0,15,BROWN,27015,1.31993,7,0.955511445
5169,MN,MN,27,56073,4,1,0,4,Y, ,1,3,33,730,730,122787,122987,6.7,3.9,1024.442902,0,0,15,BROWN,27015,1.31993,7,1.916922612
5170,MN,MN,27,56073,4,1,1,3,Y, ,3,3,33,830,830,11188,11388,4,5.4,1071.318034,0,0,15,BROWN,27015,1.31993,7,1.410986974
5171,MN,MN,27,56073,4,1,0,2,Y, ,5,3,38,1247,2221,12288,12488,10.1,5.8,893.23743,0,0,15,BROWN,27015,1.31993,7,2.32238772
5172,MN,MN,27,55720,5,1,0,1,Y, ,3,4,25,600,600,10188,10188,2.2,8.7,1214.922779,0,0,17,CARLTON,27017,0.717261,8,0.832909123
5173,MN,MN,27,55720,5,1,0,0,Y, ,2,4,34,930,930,10188,10188,1.8,11.3,1146.49919,0,0,17,CARLTON,27017,0.717261,8,0.641853886
5174,MN,MN,27,55720,5,1,0,2,Y, ,4,4,34,1700,1700,122287,122487,3.4,9.6,1177.377355,0,0,17,CARLTON,27017,0.717261,8,1.252762968
5175,MN,MN,27,55720,5,1,1,7,Y, ,1,4,37,1400,2000,121887,122087,5.6,28.9,1088.985661,0,0,17,CARLTON,27017,0.717261,8,1.740466175
5176,MN,MN,27,55720,5,1,0,4,Y, ,4,2,37,1930,1930,122687,122887,4.3,10.8,461.274696,0,0,17,CARLTON,27017,0.717261,8,1.481604541
5179,MN,MN,27,55733,5,1,0,2,Y, ,2,4,25,1820,1845,121287,121487,4.2,6.5,1146.49919,0,0,17,CARLTON,27017,0.717261,8,1.458615023
5180,MN,MN,27,55757,5,1,0,4,Y, ,3,4,22,1730,1730,121187,121487,0.8,23.4,1214.922779,0,0,17,CARLTON,27017,0.717261,8,-0.105360516
5181,MN,MN,27,55797,5,1,0,4,Y, ,4,4,46,800,800,12788,12988,2,16.7,1177.377355,0,0,17,CARLTON,27017,0.717261,8,0.741937345
5182,MN,MN,27,55318,5,1,0,4,Y, ,4,4,39,1905,1905,11888,12088,1.6,15.9,1177.377355,0,0,19,CARVER,27019,1.10061,9,0.530628251
5183,MN,MN,27,55318,5,1,0,4,Y, ,1,4,45,1800,1800,22488,22688,12.9,3.4,1088.985661,0,0,19,CARVER,27019,1.10061,9,2.564949357
5184,MN,MN,27,55318,5,1,1,1,Y, ,5,4,2,2130,2130,22388,22588,14.7,3.1,1105.956867,0,0,19,CARVER,27019,1.10061,9,2.694627181
5185,MN,MN,27,55368,5,1,1,7,Y, ,4,4,38,1610,1615,31588,31788,4.7,16,1177.377355,0,0,19,CARVER,27019,1.10061,9,1.568615918
5186,MN,MN,27,55388,5,1,0,4,Y, ,4,4,26,1830,1830,121487,121687,9.6,5.2,1177.377355,1,0,19,CARVER,27019,1.10061,9,2.272125886
5187,MN,MN,27,55388,5,1,1,3,Y, ,1,4,48,900,900,20288,20288,0,0,1088.985661,0,0,19,CARVER,27019,1.10061,9,-2.302585093
5189,MN,MN,27,56433,2,1,0,4,Y, ,1,3,29,800,800,121987,122187,7.4,6.8,1024.442902,0,0,21,CASS,27021,0.544319,10,2.014903021
5192,MN,MN,27,56474,2,1,0,4,Y, ,4,3,48,1350,1350,20288,20288,4,6.7,990.411554,0,0,21,CASS,27021,0.544319,10,1.410986974
5193,MN,MN,27,56222,5,1,0,2,Y, ,1,4,32,1430,1130,10188,10188,7.7,3.9,1088.985661,0,0,23,CHIPPEWA,27023,1.3148,11,2.054123734
5194,MN,MN,27,56265,5,1,0,2,Y, ,5,4,25,1700,1700,122687,122887,1.4,14,1105.956867,0,0,23,CHIPPEWA,27023,1.3148,11,0.405465108
5195,MN,MN,27,56265,5,1,0,2,Y, ,2,4,43,1000,1000,12188,12488,10,3.2,1146.49919,0,0,23,CHIPPEWA,27023,1.3148,11,2.312535424
5196,MN,MN,27,56265,5,1,0,4,Y, ,1,4,4,1330,1345,22788,22988,9.4,3.7,1088.985661,0,0,23,CHIPPEWA,27023,1.3148,11,2.251291799
5197,MN,MN,27,55025,5,1,0,4,Y, ,4,2,24,730,730,121487,121687,0.8,19.2,461.274696,0,0,25,CHISAGO,27025,0.479352,12,-0.105360516
5198,MN,MN,27,55032,5,1,0,2,Y, ,2,4,27,1845,2000,121487,121687,4.4,7.7,1146.49919,0,0,25,CHISAGO,27025,0.479352,12,1.504077397
5199,MN,MN,27,55045,5,1,0,4,Y, ,5,4,35,1100,1100,122787,122987,5,8.6,1105.956867,0,0,25,CHISAGO,27025,0.479352,12,1.62924054
5200,MN,MN,27,55045,5,1,0,2,Y, ,5,4,36,1330,1330,122687,122887,2.1,11,1105.956867,0,0,25,CHISAGO,27025,0.479352,12,0.78845736
5202,MN,MN,27,55092,5,1,0,2,Y, ,5,4,29,1800,1800,11088,11288,8.1,4,1105.956867,1,0,25,CHISAGO,27025,0.479352,12,2.104134154
5203,MN,MN,27,56514,2,0,1,0, , ,3,3,22,1700,1700,120287,121087,0.9,26.5,1071.318034,0,0,27,CLAY,27027,1.41027,13,0
5204,MN,MN,27,56514,2,1,0,2,Y, ,5,3,40,1815,2015,12088,12288,12.9,6.9,893.23743,0,0,27,CLAY,27027,1.41027,13,2.564949357
5205,MN,MN,27,56529,2,1,0,4,Y, ,4,3,45,2000,2030,13088,20288,2.6,8.9,990.411554,0,0,27,CLAY,27027,1.41027,13,0.993251773
5206,MN,MN,27,56547,2,1,1,3, , ,5,3,22,930,930,120287,121187,3.5,8.9,893.23743,0,0,27,CLAY,27027,1.41027,13,1.280933845
5207,MN,MN,27,56549,2,1,0,4,Y, ,1,3,28,755,935,122187,122387,26.6,2.5,1024.442902,2,0,27,CLAY,27027,1.41027,13,3.284663565
5208,MN,MN,27,56549,2,0,0,0, , ,4,3,33,1140,0,122987,123187,1.5,20.9,990.411554,0,0,27,CLAY,27027,1.41027,13,0.470003629
5209,MN,MN,27,56560,2,1,0,2,Y, ,2,3,22,715,715,120287,121187,13,3.2,921.864905,0,0,27,CLAY,27027,1.41027,13,2.57261223
5210,MN,MN,27,56560,2,1,0,4,Y, ,4,3,22,2100,2300,122087,122287,8.8,5.2,990.411554,0,0,27,CLAY,27027,1.41027,13,2.186051277
5211,MN,MN,27,56560,2,1,0,4,Y, ,3,3,23,1130,1130,31988,32188,19.5,2.8,1071.318034,0,0,27,CLAY,27027,1.41027,13,2.975529566
5212,MN,MN,27,56560,2,1,1,3,N, ,4,3,36,1000,1000,11988,12188,2.5,11.4,990.411554,0,0,27,CLAY,27027,1.41027,13,0.955511445
5213,MN,MN,27,56560,2,1,0,2,Y, ,1,3,44,2200,2200,12488,12688,9,5.1,1024.442902,1,0,27,CLAY,27027,1.41027,13,2.208274414
5214,MN,MN,27,56560,2,1,0,7,Y, ,2,3,46,1600,1600,12688,12888,13.1,3.4,921.864905,0,0,27,CLAY,27027,1.41027,13,2.58021683
5215,MN,MN,27,56560,2,2,0,4,Y, ,5,3,47,1430,1430,20288,20288,3.6,7,893.23743,0,0,27,CLAY,27027,1.41027,13,1.30833282
5216,MN,MN,27,56560,2,0,1,0, , ,2,3,2,719,1300,22888,30388,6.9,5.2,921.864905,0,0,27,CLAY,27027,1.41027,13,1.945910149
5219,MN,MN,27,56621,2,3,1,7,N, ,4,3,39,830,830,31588,31788,0.9,26.9,990.411554,0,0,29,CLEARWATER,27029,0.941896,14,0
5221,MN,MN,27,55612,1,1,0,4,Y, ,3,1,25,1430,1614,121287,121487,2.7,10,348.042925,0,0,31,COOK,27031,0.603508,15,1.029619417
5223,MN,MN,27,56101,5,1,0,4,Y, ,3,4,1,1700,1700,22388,22588,6.8,4.7,1214.922779,0,0,33,COTTONWOOD,27033,1.40433,16,1.931521412
5224,MN,MN,27,56137,5,1,1,3,Y, ,5,4,2,1630,1630,22988,30388,11.1,4.6,1105.956867,0,0,33,COTTONWOOD,27033,1.40433,16,2.415913778
5225,MN,MN,27,56174,5,1,1,3,Y, ,5,4,25,2300,1000,121487,121787,0,0,1105.956867,0,0,33,COTTONWOOD,27033,1.40433,16,-2.302585093
5226,MN,MN,27,56183,5,1,1,3,Y, ,4,4,30,1000,1000,10188,10188,2.5,11.2,1177.377355,0,0,33,COTTONWOOD,27033,1.40433,16,0.955511445
5227,MN,MN,27,56364,2,1,0,4,Y, ,4,3,33,1000,1000,122687,122887,1.8,11.9,990.411554,0,0,35,CROW WING,27035,0.530789,17,0.641853886
5228,MN,MN,27,56401,2,1,0,4,Y, ,1,3,37,1130,1130,11188,11388,1.6,11.5,1024.442902,0,0,35,CROW WING,27035,0.530789,17,0.530628251
5229,MN,MN,27,56401,2,1,1,2, , ,4,3,44,900,900,12388,12588,1,18.7,990.411554,1,0,35,CROW WING,27035,0.530789,17,0.09531018
5230,MN,MN,27,56401,2,1,0,1,Y, ,5,3,49,1844,1915,20288,20288,0.9,25.3,893.23743,0,0,35,CROW WING,27035,0.530789,17,0
5231,MN,MN,27,56431,2,1,0,4,Y, ,1,2,40,800,800,11988,12188,2.9,9.2,485.435931,0,0,35,CROW WING,27035,0.530789,17,1.098612289
5232,MN,MN,27,56441,2,1,0,4,Y, ,5,3,21,1245,1245,10188,11188,4.4,5.3,893.23743,0,0,35,CROW WING,27035,0.530789,17,1.504077397
5233,MN,MN,27,56441,2,1,0,4,Y, ,3,3,36,1530,1830,10188,10188,1.5,16,1071.318034,0,0,35,CROW WING,27035,0.530789,17,0.470003629
5234,MN,MN,27,56442,2,1,0,4,Y, ,2,3,45,2045,2050,12688,12888,4.1,7.3,921.864905,0,0,35,CROW WING,27035,0.530789,17,1.435084525
5235,MN,MN,27,56450,2,1,1,0,N, ,2,3,46,940,937,12788,12988,2.5,8.7,921.864905,1,0,35,CROW WING,27035,0.530789,17,0.955511445
5236,MN,MN,27,56468,2,1,1,3,Y, ,1,3,26,1305,1305,11188,11388,6.7,9,1024.442902,0,0,35,CROW WING,27035,0.530789,17,1.916922612
5237,MN,MN,27,56472,2,1,0,4,Y, ,1,3,25,830,830,121387,121587,4.3,5.5,1024.442902,0,0,35,CROW WING,27035,0.530789,17,1.481604541
5238,MN,MN,27,56472,2,1,0,4,Y, ,3,3,30,1300,1300,122487,122687,5.5,6.6,1071.318034,0,0,35,CROW WING,27035,0.530789,17,1.722766598
5239,MN,MN,27,55024,3,1,0,2,Y, ,5,2,21,1600,1600,120287,121087,3.6,7.9,471.366223,0,0,37,DAKOTA,27037,0.976144,18,1.30833282
5240,MN,MN,27,55024,3,1,0,7,Y, ,1,2,34,1400,1400,122687,122887,2.8,7.8,485.435931,0,0,37,DAKOTA,27037,0.976144,18,1.064710737
5241,MN,MN,27,55024,3,1,0,4,Y, ,5,2,2,900,1630,22488,22688,14.6,2.7,471.366223,0,0,37,DAKOTA,27037,0.976144,18,2.687847494
5242,MN,MN,27,55024,3,1,0,4,Y, ,3,2,4,830,832,40488,40488,6.7,4.4,433.316718,0,0,37,DAKOTA,27037,0.976144,18,1.916922612
5243,MN,MN,27,55033,3,1,0,4,Y, ,1,2,21,900,900,121087,121287,8,4.4,485.435931,0,0,37,DAKOTA,27037,0.976144,18,2.091864062
5244,MN,MN,27,55033,3,1,0,0,Y, ,3,2,24,1325,1325,121287,121487,2.6,9.4,433.316718,0,0,37,DAKOTA,27037,0.976144,18,0.993251773
5245,MN,MN,27,55033,3,1,1,3,Y, ,2,2,27,1100,1100,121587,121787,2.8,10.8,461.62367,0,0,37,DAKOTA,27037,0.976144,18,1.064710737
5247,MN,MN,27,55033,3,1,1,2, , ,1,2,30,805,1200,10188,10188,1.7,15.3,485.435931,0,0,37,DAKOTA,27037,0.976144,18,0.587786665
5248,MN,MN,27,55033,3,1,0,5,Y, ,4,2,34,1600,1615,11688,11888,2,12.9,461.274696,0,0,37,DAKOTA,27037,0.976144,18,0.741937345
5250,MN,MN,27,55033,3,1,0,4,Y, ,3,2,47,2100,2105,22188,22388,1.5,13.1,433.316718,0,0,37,DAKOTA,27037,0.976144,18,0.470003629
5251,MN,MN,27,55033,3,1,0,4,Y, ,5,2,47,1330,1330,20288,20288,9.6,4.2,471.366223,0,0,37,DAKOTA,27037,0.976144,18,2.272125886
5252,MN,MN,27,55033,3,2,0,4,Y, ,1,2,48,900,900,20288,21088,8.1,3.4,485.435931,1,0,37,DAKOTA,27037,0.976144,18,2.104134154
5253,MN,MN,27,55033,3,1,0,7,Y, ,3,2,1,1730,1730,22388,22588,3.5,9.4,433.316718,0,0,37,DAKOTA,27037,0.976144,18,1.280933845
5254,MN,MN,27,55044,3,5,1,3,N, ,3,2,41,1530,1530,11688,11888,0.8,19.9,433.316718,0,0,37,DAKOTA,27037,0.976144,18,-0.105360516
5256,MN,MN,27,55044,3,1,0,4,Y, ,1,2,42,1730,1725,20288,20288,3.2,8,485.435931,0,0,37,DAKOTA,27037,0.976144,18,1.193922468
5257,MN,MN,27,55044,3,0,0,0, , ,3,2,46,600,600,21888,21988,10.8,6.3,433.316718,0,0,37,DAKOTA,27037,0.976144,18,2.388762789
5258,MN,MN,27,55057,3,1,0,4,Y, ,3,3,36,1930,1930,122787,122987,8.2,5.7,1071.318034,0,0,37,DAKOTA,27037,0.976144,18,2.116255515
5259,MN,MN,27,55057,3,1,0,4,Y, ,5,3,1,950,950,31088,31288,6.3,5,893.23743,0,0,37,DAKOTA,27037,0.976144,18,1.85629799
5260,MN,MN,27,55068,3,1,0,2,Y, ,1,2,31,1130,1315,122687,122887,4.8,5.1,485.435931,0,0,37,DAKOTA,27037,0.976144,18,1.589235205
5261,MN,MN,27,55068,3,1,0,4,Y, ,3,2,32,2225,2225,10188,10188,6,4.7,433.316718,0,0,37,DAKOTA,27037,0.976144,18,1.808288771
5262,MN,MN,27,55068,3,1,0,1,Y, ,2,2,43,1230,1230,11788,11988,1.1,16.3,461.62367,0,0,37,DAKOTA,27037,0.976144,18,0.182321557
5263,MN,MN,27,55068,3,1,0,2,Y, ,5,2,49,1400,830,20288,20288,8.7,3,471.366223,0,0,37,DAKOTA,27037,0.976144,18,2.174751721
5264,MN,MN,27,55068,3,1,0,1,Y, ,1,2,3,900,900,22488,22688,8.8,4.1,485.435931,0,0,37,DAKOTA,27037,0.976144,18,2.186051277
5265,MN,MN,27,55075,3,1,0,2,Y, ,1,2,22,1830,1850,121487,121687,6.8,5.8,485.435931,0,0,37,DAKOTA,27037,0.976144,18,1.931521412
5266,MN,MN,27,55075,3,0,0,0, , ,4,2,23,1715,2115,12388,12588,2.3,9.3,461.274696,0,0,37,DAKOTA,27037,0.976144,18,0.875468737
5267,MN,MN,27,55075,3,1,0,2,Y, ,2,2,23,1100,1100,121487,121687,1.6,18.1,461.62367,0,0,37,DAKOTA,27037,0.976144,18,0.530628251
5268,MN,MN,27,55075,3,1,0,2,Y, ,1,2,25,1400,1415,121287,121487,2.8,9.3,485.435931,0,0,37,DAKOTA,27037,0.976144,18,1.064710737
5269,MN,MN,27,55075,3,1,0,4,Y, ,2,2,27,1415,1415,121287,121487,6.5,4.9,461.62367,0,0,37,DAKOTA,27037,0.976144,18,1.887069649
5270,MN,MN,27,55075,3,1,0,4,Y, ,3,2,28,1620,1620,121287,121487,1.7,11.4,433.316718,0,0,37,DAKOTA,27037,0.976144,18,0.587786665
5271,MN,MN,27,55075,3,0,0,0, , ,2,2,29,1430,1430,121687,121887,4.6,6.8,461.62367,0,0,37,DAKOTA,27037,0.976144,18,1.547562509
5272,MN,MN,27,55075,3,1,0,4,Y, ,3,2,29,1100,900,121687,121987,3.3,7,433.316718,0,0,37,DAKOTA,27037,0.976144,18,1.223775432
5274,MN,MN,27,55075,3,1,0,7,Y, ,5,2,31,645,645,12888,13088,21.2,2.9,471.366223,2,0,37,DAKOTA,27037,0.976144,18,3.058707073
5275,MN,MN,27,55075,3,1,0,2,Y, ,2,2,34,1600,2300,122287,122487,9.1,4.3,461.62367,0,0,37,DAKOTA,27037,0.976144,18,2.219203484
5276,MN,MN,27,55075,3,1,0,4,Y, ,4,2,38,1600,1600,123087,10188,0.9,20.6,461.274696,0,0,37,DAKOTA,27037,0.976144,18,0
